v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,groupedcategory,household,q1,q2_1,q2_2,q2_3,q2_4,q3,q4,q5,q6,q7,q8,q9,q10,q11_1,q12
R_25vmvnjNqC91swC,Default Response Set,Anonymous,,,37,0,2018-05-01 10:46:14,2018-05-01 10:46:42,1,top,packed,,,,,,1,,,,1,washing and folding laundry,1,2,31,
R_2AGZpSdvZxf26vt,Default Response Set,Anonymous,,,94,0,2018-05-01 10:46:15,2018-05-01 10:46:47,1,top,packed,,,,,,1,,,,1,washing laundry,1,2,24,
R_3ekSfamh3ekCyEZ,Default Response Set,Anonymous,,,134,0,2018-05-01 10:46:15,2018-05-01 10:46:48,1,top,packed,,,,,,1,,,,1,mowing a lawn,1,1,24,
R_1JLvU2SLYX8DPSN,Default Response Set,Anonymous,,,167,0,2018-05-01 10:46:35,2018-05-01 10:46:49,1,top,packed,,,,,,1,,,,1,pulling weeds,1,1,22,
R_25SfieQ3Lsmz7Hs,Default Response Set,Anonymous,,,152,0,2018-05-01 10:46:12,2018-05-01 10:46:49,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,2,34,
R_1jJ9Dgr4Lt9p6y3,Default Response Set,Anonymous,,,35,0,2018-05-01 10:46:43,2018-05-01 10:46:54,1,top,packed,,,,,,1,,,,1,pulling weeds,1,1,34,Thanks!
R_TuerkwIrdriS9yN,Default Response Set,Anonymous,,,85,0,2018-05-01 10:46:13,2018-05-01 10:46:55,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,1,30,
R_Q9ToKUH7rJQhE1H,Default Response Set,Anonymous,,,47,0,2018-05-01 10:46:16,2018-05-01 10:46:58,1,top,packed,,,,,,1,,,,1,mowing a lawn,1,2,29,
R_28IJWkPeFNo0mlF,Default Response Set,Anonymous,,,154,0,2018-05-01 10:46:28,2018-05-01 10:47:03,1,top,packed,,,,,,1,,,,1,kitchen cleaning,1,2,43,
R_1CjSeJeOWN9YKgI,Default Response Set,Anonymous,,,45,0,2018-05-01 10:46:12,2018-05-01 10:47:03,1,top,packed,,,,,,1,,,,1,vacuuming,1,1,50,
R_2CJo1exyg3cDEU8,Default Response Set,Anonymous,,,192,0,2018-05-01 10:46:45,2018-05-01 10:47:04,1,top,unpacked,,,,,,1,,,1,,mowing a lawn,1,1,31,
R_UcDKbKdrT9rhY8V,Default Response Set,Anonymous,,,96,0,2018-05-01 10:46:31,2018-05-01 10:47:07,1,bottom,unpacked,,,,,,1,1,,,,outdoor,1,2,30,No
R_Q9t4n2bYi3qgl7r,Default Response Set,Anonymous,,,64,0,2018-05-01 10:46:22,2018-05-01 10:47:07,1,bottom,packed,,,,,,1,,1,,,an indoor chore,1,1,43,
R_3rNV0rOtqSSBH9L,Default Response Set,Anonymous,,,71,0,2018-05-01 10:46:33,2018-05-01 10:47:08,1,bottom,unpacked,,,,,,1,1,,,,vacuuming ,1,2,22,
R_2VEDkULgPBqmM8k,Default Response Set,Anonymous,,,104,0,2018-05-01 10:46:25,2018-05-01 10:47:10,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,1,25,
R_1FrgAMiggA7AeQa,Default Response Set,Anonymous,,,110,0,2018-05-01 10:46:33,2018-05-01 10:47:14,1,top,unpacked,,,,,,1,,,1,,mowing a lawn,1,1,31,no
R_1gbvm2rl2rJ1emO,Default Response Set,Anonymous,,,121,0,2018-05-01 10:46:43,2018-05-01 10:47:15,1,top,unpacked,,,,,,1,,,1,,kitchen cleaning,1,2,38,
R_3M0h2Q1715TUnLZ,Default Response Set,Anonymous,,,73,0,2018-05-01 10:46:41,2018-05-01 10:47:16,1,bottom,packed,,,,,,1,,1,,,an indoor chore ,1,2,33,
R_1NEDw1I3pn2DYI1,Default Response Set,Anonymous,,,128,0,2018-05-01 10:46:44,2018-05-01 10:47:18,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,2,34,no
R_1q1FC8EosV3iQZ0,Default Response Set,Anonymous,,,95,0,2018-05-01 10:46:40,2018-05-01 10:47:19,1,bottom,packed,,,,,,1,,1,,,Vacuuming,1,2,25,Not really 
R_3FViDFrVjacRzsl,Default Response Set,Anonymous,,,91,0,2018-05-01 10:46:23,2018-05-01 10:47:24,1,top,packed,,,,,,1,,,,1,an indoor chore ,1,2,24,
R_1eyt9lnJUap1FJL,Default Response Set,Anonymous,,,201,0,2018-05-01 10:46:44,2018-05-01 10:47:26,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,1,30,
R_Zwteo5KcBqs81Zn,Default Response Set,Anonymous,,,196,0,2018-05-01 10:46:57,2018-05-01 10:47:27,1,top,unpacked,,,,,,1,,,1,,kitchen cleaning ,1,2,32,
R_3D09JN6xg9qnOnO,Default Response Set,Anonymous,,,43,0,2018-05-01 10:47:02,2018-05-01 10:47:29,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,1,27,
R_4THpiBIvO3ZWsOR,Default Response Set,Anonymous,,,120,0,2018-05-01 10:47:00,2018-05-01 10:47:36,1,top,packed,,,,,,1,,,,1,laundry,1,1,36,
R_2Rb5UpmIkCBhBcm,Default Response Set,Anonymous,,,8,0,2018-05-01 10:47:16,2018-05-01 10:47:42,1,bottom,unpacked,,,,,,1,1,,,,"an outdoor chore: your choice of cleaning rain gutters, mowing a lawn, or pulling weeds",1,1,33,
R_2R4VLk1TY4MhZqj,Default Response Set,Anonymous,,,90,0,2018-05-01 10:46:22,2018-05-01 10:47:47,1,top,packed,,,,,,1,,,,1,that is not a choice as i have never had an outdoor as an adult,1,1,46,"i live in apartments, i always live in apartmets. i never want an outdoor"
R_2cu6AYhnVtjt7Xm,Default Response Set,Anonymous,,,48,0,2018-05-01 10:46:42,2018-05-01 10:47:50,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,1,23,
R_BY7vYpLt30UwxFL,Default Response Set,Anonymous,,,138,0,2018-05-01 10:47:16,2018-05-01 10:47:50,1,bottom,unpacked,,,,,,1,1,,,,Mowing a Lawn,1,1,29,No
R_3lS5aTnz9n7UAjG,Default Response Set,Anonymous,,,18,0,2018-05-01 10:47:01,2018-05-01 10:47:51,1,top,packed,,,,,,1,,,,1,mowing a lawn,1,1,59,
R_2Tzpi0T9uHRdTzn,Default Response Set,Anonymous,,,56,0,2018-05-01 10:47:21,2018-05-01 10:47:53,1,bottom,unpacked,,,,,,1,1,,,,Kitchen cleaning,1,2,26,n/a
R_2scjBmoq441jQkr,Default Response Set,Anonymous,,,62,0,2018-05-01 10:47:05,2018-05-01 10:47:55,1,bottom,packed,,,,,,1,,1,,,laundry,1,2,37,no
R_pGXECGhtHu8v6tX,Default Response Set,Anonymous,,,151,0,2018-05-01 10:47:08,2018-05-01 10:47:56,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,38,
R_1KvchBN1jsLfdCH,Default Response Set,Anonymous,,,39,0,2018-05-01 10:47:31,2018-05-01 10:47:59,1,bottom,unpacked,,,,,,1,1,,,,washing and folding laundry,1,1,28,
R_263jBn5oAox4MQ8,Default Response Set,Anonymous,,,188,0,2018-05-01 10:47:19,2018-05-01 10:48:04,1,bottom,packed,,,,,,1,,1,,,Mowing the lawn,1,2,27,
R_10vAVCBtiKGDQVX,Default Response Set,Anonymous,,,174,0,2018-05-01 10:47:05,2018-05-01 10:48:06,1,top,packed,,,,,,1,,,,1,mowing lawn,1,1,47,none
R_b12L4acqedsL8l3,Default Response Set,Anonymous,,,166,0,2018-05-01 10:47:31,2018-05-01 10:48:08,1,top,packed,,,,,,1,,,,1,pulling weeds,1,2,29,
R_3kjPzlu339SRuGd,Default Response Set,Anonymous,,,57,0,2018-05-01 10:47:35,2018-05-01 10:48:11,1,top,packed,,,,,,1,,,,1,washing and folding laundry,1,1,24,
R_1OMDQPtST7HFmyg,Default Response Set,Anonymous,,,159,0,2018-05-01 10:47:41,2018-05-01 10:48:18,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,1,60,no
R_2PnZkkkGrbi2SlH,Default Response Set,Anonymous,,,26,0,2018-05-01 10:47:56,2018-05-01 10:48:19,1,bottom,packed,,,,,,1,,1,,,indoor chore,1,2,32,
R_21bqL82O66itqBr,Default Response Set,Anonymous,,,65,0,2018-05-01 10:48:00,2018-05-01 10:48:20,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,1,28,
R_3Jlrzt3WG8Ft1tu,Default Response Set,Anonymous,,,13,0,2018-05-01 10:47:09,2018-05-01 10:48:23,1,bottom,unpacked,,,,,,1,1,,,,40000,1,1,27,This is a nice survey.
R_pxSAjZzfSw2GvW9,Default Response Set,Anonymous,,,127,0,2018-05-01 10:48:05,2018-05-01 10:48:36,1,top,packed,,,,,,1,,,,1,vacuuming,1,1,26,
R_3ilG4HY6G2JEJAI,Default Response Set,Anonymous,,,78,0,2018-05-01 10:48:20,2018-05-01 10:48:51,1,top,unpacked,,,,,,1,,,1,,Washing and Folding laundry,1,1,29,Great survey!
R_1M6Xwl2LWUY6lgN,Default Response Set,Anonymous,,,172,0,2018-05-01 10:48:11,2018-05-01 10:48:56,1,bottom,packed,,,,,,1,,1,,,Mowing a lawn,1,1,33,"If it takes you an hour to clear the gutters, you're not doing it right."
R_3fwTE1EBkLzokRy,Default Response Set,Anonymous,,,59,0,2018-05-01 10:47:58,2018-05-01 10:48:59,1,top,packed,,,,,,1,,,,1,WASHING AND FOLDING LAUNDRY,1,2,55,NO
R_PS7H87iavYTEriF,Default Response Set,Anonymous,,,148,0,2018-05-01 10:47:50,2018-05-01 10:48:59,1,bottom,unpacked,,,,,,1,1,,,,An outdoor chore,1,1,41,I would mow the lawn or pull weeds most likely.
R_BR5equUN9VAciiZ,Default Response Set,Anonymous,,,2,0,2018-05-01 10:48:31,2018-05-01 10:49:05,1,bottom,packed,,,,,,1,,1,,,an indoor chore,1,2,20,No
R_2D6R91f28PqyPgN,Default Response Set,Anonymous,,,3,0,2018-05-01 10:48:19,2018-05-01 10:49:10,1,top,packed,,,,,,1,,,,1,Washing and folding laundry,1,2,62,Thank you for the opportunity to participate
R_3ML38uz8xFE93YW,Default Response Set,Anonymous,,,58,0,2018-05-01 10:48:26,2018-05-01 10:49:12,1,bottom,unpacked,,,,,,1,1,,,,"an outdoor chore: your choice of cleaning rain gutters, mowing a lawn, or pulling weeds",1,1,54,
R_2wHtrgMiyGdyBhW,Default Response Set,Anonymous,,,24,0,2018-05-01 10:49:00,2018-05-01 10:49:16,1,top,unpacked,,,,,,1,,,1,,outdoor,1,1,36,
R_27PUAMmmUQ4bEHf,Default Response Set,Anonymous,,,69,0,2018-05-01 10:48:56,2018-05-01 10:49:21,1,top,unpacked,,,,,,1,,,1,,AN OUTDOOR CHORE,1,1,45,
R_2TTW5fs0D0rjBS1,Default Response Set,Anonymous,,,136,0,2018-05-01 10:49:02,2018-05-01 10:49:27,1,bottom,unpacked,,,,,,1,1,,,,washing and folding laundry,1,1,27,
R_8uWU5f6YV3QCNvH,Default Response Set,Anonymous,,,99,0,2018-05-01 10:48:59,2018-05-01 10:49:40,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,1,41,
R_2uNE61yQFShHYG4,Default Response Set,Anonymous,,,185,0,2018-05-01 10:48:44,2018-05-01 10:49:43,1,top,unpacked,,,,,,1,,,1,,kitchen cleaning,1,1,38,
R_2aga1cabMsZXRGC,Default Response Set,Anonymous,,,194,0,2018-05-01 10:48:03,2018-05-01 10:49:44,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,44,"Your listing on MTurk states 2 minutes, however, your statement at the beginning lists this as a 30 min survey - just so you're aware. Good luck!"
R_xeYUE4kWZD6uQw1,Default Response Set,Anonymous,,,23,0,2018-05-01 10:49:11,2018-05-01 10:49:46,1,bottom,packed,,,,,,1,,1,,,vacuuming,1,2,31,
R_RUiCBg7wBGOikuZ,Default Response Set,Anonymous,,,36,0,2018-05-01 10:47:17,2018-05-01 10:49:47,1,bottom,packed,,,,,,1,,1,,,an indoor chore,1,2,33,
R_3EFqagSlXU4Z9im,Default Response Set,Anonymous,,,87,0,2018-05-01 10:48:25,2018-05-01 10:49:56,1,top,packed,,,,,,1,,,,1,PULLING WEEDS,1,1,30,AWESOME
R_1gAbvDOMWV55vn4,Default Response Set,Anonymous,,,116,0,2018-05-01 10:47:30,2018-05-01 10:49:59,1,top,packed,,,,,,1,,,,1,mowing a lawn,1,1,32,
R_3PhIHwteDGtOyp2,Default Response Set,Anonymous,,,133,0,2018-05-01 10:49:24,2018-05-01 10:50:01,1,top,unpacked,,,,,,1,,,1,,Washing and folding laundry,1,1,33,
R_2BeOzBunl2rSK2f,Default Response Set,Anonymous,,,130,0,2018-05-01 10:49:37,2018-05-01 10:50:02,1,bottom,unpacked,,,,,,1,1,,,,outdoor chore,1,2,29,
R_3mjK7UXnkMRISbb,Default Response Set,Anonymous,,,9,0,2018-05-01 10:48:32,2018-05-01 10:50:10,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,30,
R_eqFs3Zh3VWSc1R7,Default Response Set,Anonymous,,,33,0,2018-05-01 10:46:46,2018-05-01 10:50:13,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,2,26,N/A
R_2aQO6P8gHxfRnQW,Default Response Set,Anonymous,,,80,0,2018-05-01 10:49:43,2018-05-01 10:50:18,1,top,packed,,,,,,1,,,,1,vacuuming,1,2,40,
R_Rm1ejB8nieACMq5,Default Response Set,Anonymous,,,100,0,2018-05-01 10:49:43,2018-05-01 10:50:26,1,bottom,packed,,,,,,1,,1,,,indoor chore,1,2,38,
R_3kNWO77OgVxZlcZ,Default Response Set,Anonymous,,,178,0,2018-05-01 10:49:56,2018-05-01 10:50:28,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,21,
R_2ePCUabeeCmZx1Z,Default Response Set,Anonymous,,,137,0,2018-05-01 10:49:45,2018-05-01 10:50:30,1,top,unpacked,,,,,,1,,,1,,outdoor chore (pulling weeds),1,2,34,None yet.
R_1dAjvTBLlFyS4r9,Default Response Set,Anonymous,,,4,0,2018-05-01 10:50:04,2018-05-01 10:50:31,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,2,31,
R_8G7pNOorZKzzQ1X,Default Response Set,Anonymous,,,29,0,2018-05-01 10:50:11,2018-05-01 10:50:37,1,top,unpacked,,,,,,1,,,1,,mowing a lawn,1,1,30,
R_3qKX1vqIExLCd3s,Default Response Set,Anonymous,,,60,0,2018-05-01 10:49:07,2018-05-01 10:50:38,1,top,packed,,,,,,1,,,,1,PULLING WEEDS,1,2,58,
R_3fpEsyuMSE2nAFj,Default Response Set,Anonymous,,,125,0,2018-05-01 10:50:06,2018-05-01 10:50:39,1,top,packed,,,,,,1,,,,1,washing and folding laundry,1,2,39,no
R_3rM56NlCWOTyMxY,Default Response Set,Anonymous,,,19,0,2018-05-01 10:50:22,2018-05-01 10:50:46,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,2,34,
R_294gRWQhDEgJEzr,Default Response Set,Anonymous,,,182,0,2018-05-01 10:50:09,2018-05-01 10:50:48,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,2,45,none
R_30jX8KOFmAm3eaK,Default Response Set,Anonymous,,,124,0,2018-05-01 10:50:15,2018-05-01 10:50:48,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,2,46,
R_2WMwfJ7jOjCtaFh,Default Response Set,Anonymous,,,5,0,2018-05-01 10:50:26,2018-05-01 10:50:50,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,1,33,
R_eyftWDITNCGKpZ7,Default Response Set,Anonymous,,,115,0,2018-05-01 10:49:18,2018-05-01 10:51:17,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,2,37,
R_1mVNCIz7dNcIEqW,Default Response Set,Anonymous,,,28,0,2018-05-01 10:50:59,2018-05-01 10:51:22,1,bottom,unpacked,,,,,,1,1,,,,outdoor chore,1,1,30,
R_1FmPCbzxuOixCGv,Default Response Set,Anonymous,,,51,0,2018-05-01 10:50:42,2018-05-01 10:51:22,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,1,24,
R_1H5ZIecDHkBuq49,Default Response Set,Anonymous,,,106,0,2018-05-01 10:50:58,2018-05-01 10:51:30,1,bottom,unpacked,,,,,,1,1,,,,Mowing a lawn,1,2,39,
R_262ynlKuu7ZXzEF,Default Response Set,Anonymous,,,82,0,2018-05-01 10:50:39,2018-05-01 10:51:35,1,top,packed,,,,,,1,,,,1,Laundry,1,2,53,
R_7UPpc7NsQXw3MBz,Default Response Set,Anonymous,,,25,0,2018-05-01 10:51:20,2018-05-01 10:51:40,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,2,19,
R_1MWpeHPJwfk1zQ9,Default Response Set,Anonymous,,,107,0,2018-05-01 10:50:37,2018-05-01 10:51:44,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,2,45,
R_wT1tgo3MMJmnUuR,Default Response Set,Anonymous,,,42,0,2018-05-01 10:51:20,2018-05-01 10:51:48,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,2,38,
R_1QzmOtsxZFLGOby,Default Response Set,Anonymous,,,129,0,2018-05-01 10:51:18,2018-05-01 10:51:52,1,top,packed,,,,,,1,,,,1,pulling weeds,1,2,25,
R_3Pw1e4WbnjqXU41,Default Response Set,Anonymous,,,34,0,2018-05-01 10:51:15,2018-05-01 10:51:52,1,bottom,packed,,,,,,1,,1,,,Indoor choice- vacuuming,1,2,31,No comments
R_2Vey93IYj8ZXIa8,Default Response Set,Anonymous,,,191,0,2018-05-01 10:51:40,2018-05-01 10:51:59,1,bottom,packed,,,,,,1,,1,,, mowing a lawn,1,1,24,
R_3F53CapMgAKkkau,Default Response Set,Anonymous,,,135,0,2018-05-01 10:51:36,2018-05-01 10:52:03,1,top,packed,,,,,,1,,,,1,kitchen cleaning,1,2,32,
R_2Cf9gLz6820lW4C,Default Response Set,Anonymous,,,86,0,2018-05-01 10:51:03,2018-05-01 10:52:11,1,bottom,packed,,,,,,1,,1,,,1,1,1,30,very nice
R_1poljZcuuayW8Gx,Default Response Set,Anonymous,,,70,0,2018-05-01 10:51:37,2018-05-01 10:52:17,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,1,23,interesting
R_8qcbhiWdOAw3hnz,Default Response Set,Anonymous,,,38,0,2018-05-01 10:51:32,2018-05-01 10:52:17,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,29,
R_2WTs3bZAvTcCamW,Default Response Set,Anonymous,,,170,0,2018-05-01 10:52:01,2018-05-01 10:52:19,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,1,26,n/a
R_21oX1ySqzhjk1Nk,Default Response Set,Anonymous,,,97,0,2018-05-01 10:51:47,2018-05-01 10:52:23,1,bottom,unpacked,,,,,,1,1,,,,mowing a lawn,1,1,45,
R_887GYQge1gEsrBv,Default Response Set,Anonymous,,,12,0,2018-05-01 10:51:14,2018-05-01 10:52:23,1,top,unpacked,,,,,,1,,,1,,KITCHEN CLEANING ,1,2,29,
R_1poPiKn8ZHjZIcA,Default Response Set,Anonymous,,,76,0,2018-05-01 10:51:56,2018-05-01 10:52:25,1,bottom,packed,,,,,,1,,1,,,vacuuming,1,1,38,
R_UEzcMx3Fh5Wyr5f,Default Response Set,Anonymous,,,200,0,2018-05-01 10:51:34,2018-05-01 10:52:26,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,1,62,no
R_pcn2sqb3GDYTGY9,Default Response Set,Anonymous,,,131,0,2018-05-01 10:51:55,2018-05-01 10:52:32,1,bottom,packed,,,,,,1,,1,,,an indoor chore,1,2,32,none
R_2YAlp4EekMjsGRu,Default Response Set,Anonymous,,,153,0,2018-05-01 10:52:25,2018-05-01 10:52:47,1,top,packed,,,,,,1,,,,1,pulling weeds,1,2,26,
R_1jUNIG3DTeVDuWJ,Default Response Set,Anonymous,,,102,0,2018-05-01 10:52:19,2018-05-01 10:53:04,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,1,27,Thank you for your time
R_3lLVlfbHIWEDN4Z,Default Response Set,Anonymous,,,123,0,2018-05-01 10:52:22,2018-05-01 10:53:05,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,28,
R_3GwvjanCYIaZC63,Default Response Set,Anonymous,,,195,0,2018-05-01 10:50:31,2018-05-01 10:53:06,1,bottom,unpacked,,,,,,1,1,,,,an outdoor chore,1,1,49,
R_1gI5lPiJuIWeLTd,Default Response Set,Anonymous,,,40,0,2018-05-01 10:52:54,2018-05-01 10:53:17,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,1,25,
R_064cqL7Z8y8H4Zz,Default Response Set,Anonymous,,,77,0,2018-05-01 10:52:41,2018-05-01 10:53:17,1,bottom,packed,,,,,,1,,1,,,kitchen cleaning,1,2,34,no
R_2zJd9FYePjHJh4p,Default Response Set,Anonymous,,,105,0,2018-05-01 10:52:46,2018-05-01 10:53:20,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,1,28,
R_3OrcYdri2efTOKh,Default Response Set,Anonymous,,,93,0,2018-05-01 10:51:14,2018-05-01 10:53:25,1,top,packed,,,,,,1,,,,1,indoor chore,1,2,50,I'm in a condo so I don't have outdoor chores.  People in apartments are in the same situation.  It might be good to account for that.
R_3nTXhtovhVxJUie,Default Response Set,Anonymous,,,165,0,2018-05-01 10:52:11,2018-05-01 10:53:28,1,bottom,packed,,,,,,1,,1,,,washing and folding laundry,1,1,41,
R_p5dJIpwhz8537fH,Default Response Set,Anonymous,,,44,0,2018-05-01 10:52:44,2018-05-01 10:53:29,1,bottom,unpacked,,,,,,1,1,,,,Vacuuming ,1,2,29,Thanks
R_1FDo0LZUmtoVGp2,Default Response Set,Anonymous,,,158,0,2018-05-01 10:52:56,2018-05-01 10:53:31,1,bottom,packed,,,,,,1,,1,,,Pulling Weeds,1,2,23,
R_BStNRq2Zm58PQGt,Default Response Set,Anonymous,,,83,0,2018-05-01 10:53:15,2018-05-01 10:53:41,1,bottom,packed,,,,,,1,,1,,,Mowing a lawn,1,1,43,
R_2rPjvtyjYsGzWBI,Default Response Set,Anonymous,,,164,0,2018-05-01 10:49:01,2018-05-01 10:53:44,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,2,26,
R_1QrROWVSdp66Lzs,Default Response Set,Anonymous,,,14,0,2018-05-01 10:52:48,2018-05-01 10:53:45,1,bottom,packed,,,,,,1,,1,,,kitchen cleaning,1,1,45,Nice survey - I'm actually getting ready to perform households chores
R_2V2cT9pT1YCQasK,Default Response Set,Anonymous,,,55,0,2018-05-01 10:53:23,2018-05-01 10:53:52,1,bottom,packed,,,,,,1,,1,,,Mowing the lawn,1,2,41,
R_1gqC1Gqa8sYzKvU,Default Response Set,Anonymous,,,52,0,2018-05-01 10:50:08,2018-05-01 10:53:58,1,top,unpacked,,,,,,1,,,1,,vacuuming ,1,1,26,great task
R_1PXLoA3ualYc9jE,Default Response Set,Anonymous,,,119,0,2018-05-01 10:53:30,2018-05-01 10:53:59,1,top,unpacked,,,,,,1,,,1,,KITCHEN CLEANING,1,1,50,
R_2dmtB9HWMTFMKXS,Default Response Set,Anonymous,,,118,0,2018-05-01 10:52:16,2018-05-01 10:54:08,1,top,packed,,,,,,1,,,,1,pulling weeds,1,1,22,
R_2s1Hu6rG4kAJK1j,Default Response Set,Anonymous,,,41,0,2018-05-01 10:51:13,2018-05-01 10:54:17,1,top,packed,,,,,,1,,,,1,mowing  a lawn,1,1,30,nice
R_2QiwWhFYwzG8z06,Default Response Set,Anonymous,,,88,0,2018-05-01 10:53:26,2018-05-01 10:54:18,1,top,packed,,,,,,1,,,,1,mowing a lawn,1,1,46,no comments
R_1q8KZp7scf5Bjs4,Default Response Set,Anonymous,,,49,0,2018-05-01 10:53:53,2018-05-01 10:54:24,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,34,
R_AtylAHXy9GiLlGV,Default Response Set,Anonymous,,,61,0,2018-05-01 10:53:43,2018-05-01 10:54:29,1,bottom,unpacked,,,,,,1,1,,,,vacuuming,1,2,44,
R_qW5G9eHUKsNof3r,Default Response Set,Anonymous,,,10,0,2018-05-01 10:54:03,2018-05-01 10:54:29,1,bottom,packed,,,,,,1,,1,,,Indoor chore: washing and folding laundry,1,2,31,
R_ZENOOIPYQoofZ9T,Default Response Set,Anonymous,,,66,0,2018-05-01 10:53:36,2018-05-01 10:54:36,1,top,packed,,,,,,1,,,,1,pulling weeds,1,1,84,
R_1DHADYc3xLtPfxT,Default Response Set,Anonymous,,,72,0,2018-05-01 10:53:36,2018-05-01 10:54:41,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,1,60,
R_1JL2Dr2cBPlXcdC,Default Response Set,Anonymous,,,103,0,2018-05-01 10:53:55,2018-05-01 10:54:43,1,bottom,unpacked,,,,,,1,1,,,,laundry,1,1,29,
R_z5LmlD1dQwAXyF3,Default Response Set,Anonymous,,,186,0,2018-05-01 10:54:03,2018-05-01 10:54:49,1,bottom,unpacked,,,,,,1,1,,,,An outdoor chore,1,2,60,"No, thank you!"
