v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,groupedcategory,order,europe,westcoast,cookies,sportingevent,q55,q59,q2,q4,q5,q6,q3,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q60,q28,q28_1,q28_2,q28_3,q28_4,q29,q29_1,q29_2,q29_3,q29_4,q30,q31_1,q31_2,q31_3,q31_4,q31,q11_1,q11_2,q11_3,q11_4,q37,q34_1,q34_2,q34_3,q34_4,q38,q35_1,q35_2,q35_3,q35_4,q39,q36_1,q36_2,q36_3,q36_4,q40,q37_1,q37_2,q37_3,q37_4,q46,q43_1,q43_2,q43_3,q43_4,q47,q44_1,q44_2,q44_3,q44_4,q48,q45_1,q45_2,q45_3,q45_4,q49,q46_1,q46_2,q46_3,q46_4,v100,q50_1,q50_2,q50_3,q50_4,q56,q51_1,q51_2,q51_3,q51_4,q57,q52_1,q52_2,q52_3,q52_4,q58,q53_1,q53_2,q53_3,q53_4,q61,v121,q59_1,q63,filter
R_9H50iqo2Aj46LUp,Default Response Set,Anonymous,,,15,0,8/5/13 9:05,8/5/13 9:08,1,top,choice first,unpacked,packed,packed,unpacked,1,1,,,1,,France,,,1,,NFL game,,,,1,Boston,,,,1,Vanilla ice cream cone,1,,,,,,,,,,,1,20,30,25,25,,,,,,,,,,,,,,,,1,15,40,25,20,,,,,,,,,,,,,,,,,,,,,1,30,30,30,10,,,,,,,,,,,,,,,,1,40,25,25,10,1,1,23,,
R_4IWphFfoSApJvyR,Default Response Set,Anonymous,,,123,0,8/5/13 9:05,8/5/13 9:08,1,bottom,inference first,unpacked,unpacked,unpacked,packed,1,1,1,,,,Italy,,1,,,Musical,1,,,,Philadelphia,1,,,,Peanut Butter cookie,1,1,60,10,20,10,,,,,,,,,,,,,,,,,,,,,1,5,15,20,60,,,,,,,,,,,1,10,10,30,50,,,,,,,,,,,,,,,,1,50,10,10,30,,,,,,,,,,,,,,,,1,2,29,,
R_6gtUEanOAFdWyDX,Default Response Set,Anonymous,,,89,0,8/5/13 9:05,8/5/13 9:09,1,bottom,choice first,packed,unpacked,packed,unpacked,1,1,,1,,,France,1,,,,NFL game,1,,,,San Francisco,,1,,,Vanilla ice cream cone,1,,,,,,1,0,0,0,100,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,1,50,25,20,5,,,,,,,,,,,,,,,,,,,,,1,25,50,15,10,,,,,,,,,,,1,2,27,no,
R_0vcjuNRYxd92bMF,Default Response Set,Anonymous,,,14,0,8/5/13 9:05,8/5/13 9:09,1,top,inference first,packed,packed,unpacked,packed,1,1,,,,1,Italy,,,,1,Theater,,,,1,Portland,,,1,,Oatmeal Raisin cookie,1,,,,,,,,,,,,,,,,1,70,10,18,2,,,,,,,,,,,,,,,,1,60,5,20,15,,,,,,,,,,,,,,,,1,60,10,10,20,,,,,,,,,,,1,30,30,25,15,,,,,,1,1,34,I recently lost my job due to company lay-offs. Please consider applying a generous bonus to my payment. Thank you so much.,
R_0JPpTbmdGT0HjkF,Default Response Set,Anonymous,,,149,0,8/5/13 9:06,8/5/13 9:11,1,top,choice first,unpacked,unpacked,unpacked,packed,1,1,,,1,,Italy,,,,1,Theater,,,1,,Washington D.C.,,,1,,Oatmeal raisin cookie,1,,,,,,,,,,,1,15,30,25,30,,,,,,,,,,,,,,,,,,,,,1,35,15,25,25,,,,,,,,,,,1,50,25,10,15,,,,,,,,,,,,,,,,1,35,25,15,25,,,,,,1,2,34,Nope.,
R_56mt1iFLZ18lku9,Default Response Set,Anonymous,,,40,0,8/5/13 9:07,8/5/13 9:12,1,bottom,inference first,unpacked,unpacked,unpacked,unpacked,1,1,1,,,,Germany,1,,,,NFL game,1,,,,San Francisco,1,,,,Chocolate Chip cookie,1,1,35,30,30,5,,,,,,,,,,,,,,,,1,45,20,30,5,,,,,,,,,,,,,,,,1,35,25,30,10,,,,,,,,,,,,,,,,1,35,20,10,35,,,,,,,,,,,,,,,,1,1,26,I enjoyed taking this survey. I hope that my answers help with your study. Thank you so much!,
R_0p3MpetFpvRqq5n,Default Response Set,Anonymous,,,39,0,8/5/13 9:09,8/5/13 9:12,1,top,inference first,packed,packed,packed,unpacked,1,1,,,,1,France,,,1,,Musical,,,,1,Seattle,,,,1,Vanilla ice cream cone,1,,,,,,,,,,,,,,,,1,60,10,20,10,,,,,,,,,,,1,20,30,20,30,,,,,,,,,,,,,,,,,,,,,1,60,20,10,10,,,,,,,,,,,,,,,,1,10,50,20,20,1,2,26,,
R_0jPK4Yiwo6Ko32J,Default Response Set,Anonymous,,,147,0,8/5/13 9:08,8/5/13 9:13,1,top,choice first,unpacked,packed,packed,packed,1,1,,,1,,Japan,,,,1,NBA,,,,1,Seattle,,,,1,Strawberry ice cream cone,1,,,,,,,,,,,1,30,40,10,20,,,,,,,,,,,,,,,,,,,,,1,70,5,20,5,,,,,,,,,,,,,,,,1,25,30,10,35,,,,,,,,,,,,,,,,1,35,35,20,10,1,1,23,Great study!,
R_etaYIRHVvByDxVX,Default Response Set,Anonymous,,,70,0,8/5/13 9:00,8/5/13 9:14,1,top,inference first,unpacked,unpacked,unpacked,unpacked,1,1,,,1,,Italy,,,1,,MLB game,,,1,,San Francisco,,,1,,Oatmeal Raisin cookie,1,,,,,,,,,,,1,10,25,15,50,,,,,,,,,,,,,,,,1,30,10,20,40,,,,,,,,,,,,,,,,1,45,40,5,10,,,,,,,,,,,,,,,,1,20,60,10,10,,,,,,1,2,30,,
R_7TYm4dvdacRCxgh,Default Response Set,Anonymous,,,151,0,8/5/13 9:12,8/5/13 9:16,1,bottom,choice first,packed,unpacked,unpacked,packed,1,1,,1,,,Japan,,1,,,Theater,1,,,,Seattle,1,,,,Chocolate Chip cookie,1,,,,,,1,10,10,10,70,,,,,,,,,,,,,,,,1,10,10,10,70,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,,,,,,1,40,20,10,30,,,,,,,,,,,,,,,,1,2,43,,
R_cLQVovq9HC04ytD,Default Response Set,Anonymous,,,152,0,8/5/13 9:07,8/5/13 9:20,1,bottom,inference first,packed,packed,packed,unpacked,1,1,,1,,,Japan,1,,,,NFL game,,1,,,Philadelphia,,1,,,Chocolate ice cream cone,1,,,,,,1,0,40,20,40,,,,,,,,,,,1,75,0,25,0,,,,,,,,,,,,,,,,,,,,,1,30,30,0,40,,,,,,,,,,,,,,,,1,75,15,10,0,,,,,,,,,,,1,2,33,,
R_0rdIs8VQ3c1GzY1,Default Response Set,Anonymous,,,2,0,8/5/13 9:21,8/5/13 9:25,1,top,choice first,unpacked,unpacked,packed,unpacked,1,1,,,1,,France,,,1,,Theater,,,1,,San Francisco,,,,1,Chocolate Chip Cookie,1,,,,,,,,,,,1,10,40,30,20,,,,,,,,,,,,,,,,1,60,10,20,10,,,,,,,,,,,,,,,,1,10,40,10,40,,,,,,,,,,,,,,,,,,,,,1,50,20,15,15,1,2,30,none,
R_87CtK6SnYtv53KZ,Default Response Set,Anonymous,,,144,0,8/5/13 9:38,8/5/13 9:40,1,bottom,inference first,packed,packed,unpacked,packed,1,1,,1,,,Italy,,1,,,MLB Game,,1,,,San Francisco,1,,,,Chocolate Chip Cookie,1,,,,,,1,10,25,5,60,,,,,,,,,,,,,,,,1,7,8,10,75,,,,,,,,,,,,,,,,1,25,25,30,20,,,,,,,,,,,1,40,20,5,35,,,,,,,,,,,,,,,,1,1,22,,
R_2hntev0iJrrrgxv,Default Response Set,Anonymous,,,114,0,8/5/13 9:48,8/5/13 9:50,1,top,choice first,unpacked,packed,unpacked,unpacked,1,1,,,1,,France,,,1,,NFL game,,,,1,Boston,,,1,,Chocolate ice cream cone,1,,,,,,,,,,,1,5,40,5,50,,,,,,,,,,,,,,,,1,0,60,10,30,,,,,,,,,,,,,,,,,,,,,1,40,20,20,20,,,,,,,,,,,1,25,60,10,5,,,,,,1,1,18,,
R_7VUGd7oXgZi4KXP,Default Response Set,Anonymous,,,79,0,8/5/13 9:57,8/5/13 10:01,1,top,inference first,unpacked,packed,unpacked,packed,1,1,,,1,,Germany,,,,1,Theater,,,,1,Washington D.C.,,,1,,Peanut Butter cookie,1,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,,,,,,1,60,5,20,15,,,,,,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,1,20,60,10,10,,,,,,1,2,34,,
R_8JkBoCqeWM4J5rv,Default Response Set,Anonymous,,,44,0,8/5/13 9:56,8/5/13 10:02,1,bottom,choice first,unpacked,unpacked,packed,unpacked,1,1,1,,,,Italy,1,,,,nfl game,1,,,,portland,,1,,,Vanilla ice cream cone,1,1,35,10,50,5,,,,,,,,,,,,,,,,1,30,30,10,30,,,,,,,,,,,,,,,,1,45,3,7,45,,,,,,,,,,,,,,,,,,,,,1,35,35,10,20,,,,,,,,,,,1,1,34,"thanks!  family feud style, i like it!",
R_73CnVbKqXA4yrdj,Default Response Set,Anonymous,,,71,0,8/5/13 10:01,8/5/13 10:04,1,bottom,inference first,packed,unpacked,packed,packed,1,1,,1,,,Germany,,1,,,NFL game,1,,,,Washington D.C.,,1,,,Chocolate ice cream cone,1,,,,,,1,0,10,10,80,,,,,,,,,,,,,,,,1,5,10,10,75,,,,,,,,,,,1,0,20,20,60,,,,,,,,,,,,,,,,,,,,,1,70,10,0,20,,,,,,,,,,,1,1,27,,
R_8qZ7LmBJEvDoDK5,Default Response Set,Anonymous,,,97,0,8/5/13 10:03,8/5/13 10:06,1,top,choice first,packed,packed,unpacked,unpacked,1,1,,,,1,Italy,,,1,,Theater,,,,1,Boston,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,50,20,20,10,,,,,,,,,,,1,5,45,35,15,,,,,,,,,,,,,,,,,,,,,1,35,40,5,20,,,,,,,,,,,1,20,35,20,25,,,,,,1,2,45,,
R_bg3w6QmEmzHPryR,Default Response Set,Anonymous,,,17,0,8/5/13 10:12,8/5/13 10:16,1,top,inference first,unpacked,packed,packed,packed,1,1,,,1,,Germany,,,,1,Musical,,,,1,Boston,,,,1,Oatmeal raisin cookie,1,,,,,,,,,,,1,50,0,50,0,,,,,,,,,,,,,,,,,,,,,1,0,0,50,50,,,,,,,,,,,,,,,,1,60,40,0,0,,,,,,,,,,,,,,,,1,90,10,0,0,1,2,19,It was difficult to understand what exactly was supposed to be written for the written section.,1
R_1LFH8T7Q8KP7v9P,Default Response Set,Anonymous,,,61,0,8/5/13 10:13,8/5/13 10:16,1,bottom,choice first,unpacked,unpacked,unpacked,unpacked,1,1,1,,,,Italy,1,,,,Opera,1,,,,Seattle,1,,,,Oatmeal Raisin cookie,1,1,30,5,30,35,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,1,30,5,10,55,,,,,,,,,,,,,,,,1,25,20,25,30,,,,,,,,,,,,,,,,1,2,37,,
R_b7qlHbILcAIIOEZ,Default Response Set,Anonymous,,,102,0,8/5/13 10:27,8/5/13 10:30,1,top,choice first,packed,packed,packed,packed,1,1,,,,1,Italy,,,,1,Theater,,,,1,San Francisco,,,,1,Peanut Butter Cookie,1,,,,,,,,,,,,,,,,1,50,20,20,10,,,,,,,,,,,,,,,,1,30,10,30,30,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,1,50,40,5,5,1,2,27,,
R_bDU66VuKL5h34kl,Default Response Set,Anonymous,,,47,0,8/5/13 10:41,8/5/13 10:44,1,top,choice first,unpacked,packed,packed,unpacked,1,1,,,1,,Italy,,,1,,Theater,,,,1,Portland,,,,1,Chocolate ice cream cone,1,,,,,,,,,,,1,30,30,10,30,,,,,,,,,,,,,,,,1,10,30,30,30,,,,,,,,,,,,,,,,,,,,,1,30,20,20,30,,,,,,,,,,,,,,,,1,20,30,30,20,1,2,54,,
R_3r7UlxnKGPPazqZ,Default Response Set,Anonymous,,,20,0,8/5/13 11:01,8/5/13 11:05,1,bottom,inference first,unpacked,packed,unpacked,unpacked,1,1,1,,,,France,1,,,,Theater,,1,,,Seattle,1,,,,Chocolate Chip cookie,1,1,40,20,30,10,,,,,,,,,,,,,,,,1,10,10,10,70,,,,,,,,,,,,,,,,,,,,,1,5,15,5,75,,,,,,,,,,,1,30,20,10,40,,,,,,,,,,,,,,,,1,2,33,Thanks,
R_87zUV3Sh2ou3ctn,Default Response Set,Anonymous,,,91,0,8/5/13 11:14,8/5/13 11:25,1,top,choice first,packed,unpacked,packed,packed,1,1,,,,1,Italy,,,,1,Musical,,,1,,San Francisco,,,,1,Chocolate ice cream cone,1,,,,,,,,,,,,,,,,1,75,10,10,5,,,,,,,,,,,,,,,,1,75,5,10,10,,,,,,,,,,,1,45,35,10,10,,,,,,,,,,,,,,,,,,,,,1,70,10,10,10,1,2,54,,
R_88MjHXnzLQxBP2B,Default Response Set,Anonymous,,,29,0,8/5/13 11:23,8/5/13 11:28,1,top,choice first,unpacked,unpacked,packed,unpacked,1,1,,,1,,France,,,1,,MLB game,,,1,,San Francisco,,,,1,Strawberry ice cream cone,1,,,,,,,,,,,1,20,40,10,30,,,,,,,,,,,,,,,,1,10,50,20,20,,,,,,,,,,,,,,,,1,60,20,5,15,,,,,,,,,,,,,,,,,,,,,1,20,60,10,10,1,1,46,No comments.,
R_6hfUF9TDzifCUyV,Default Response Set,Anonymous,,,3,0,8/5/13 12:10,8/5/13 12:24,1,bottom,inference first,packed,packed,unpacked,packed,1,1,,1,,,Japan,,1,,,Theater,,1,,,Boston,1,,,,Chocolate Chip cookie,1,,,,,,1,10,25,5,60,,,,,,,,,,,,,,,,1,10,20,20,50,,,,,,,,,,,,,,,,1,30,20,10,40,,,,,,,,,,,1,40,10,10,40,,,,,,,,,,,,,,,,1,1,32,,
R_bOgyDxkoA7AHV0V,Default Response Set,Anonymous,,,101,0,8/5/13 12:39,8/5/13 12:46,1,top,inference first,packed,unpacked,unpacked,packed,1,1,,,,1,France,,,,1,NBA,,,1,,Seattle,,,1,,chocolate chip cookie,1,,,,,,,,,,,,,,,,1,60,10,25,5,,,,,,,,,,,,,,,,1,50,10,25,15,,,,,,,,,,,1,35,35,20,10,,,,,,,,,,,,,,,,1,55,35,5,5,,,,,,1,1,32,,
R_20nFBU00QgeX989,Default Response Set,Anonymous,,,50,0,8/5/13 12:47,8/5/13 12:49,1,bottom,choice first,unpacked,packed,unpacked,packed,1,1,1,,,,Italy,,1,,,Opera,,1,,,Philadelphia,1,,,,Oatmeal raisin cookie,1,1,30,20,20,30,,,,,,,,,,,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,,,,,,1,30,20,20,30,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,,,,,,1,1,23,,
