v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,estimation,europe,groupedcategory,westcoast,cookies,sportingevent,q55,q61,q63,q65,v21,q67_1,q67_2,q67_3,q67_4,q67,q83_1,q83_2,q8,q9,q10,q11,q12,q84_1,q84_2,q18,q19,q20,q21,q22,q85_1,q85_2,q13,q14,q15,q16,q17,q86_1,q86_2,q2,q4,q5,q6,q3,v55,q57,q59_1,v58,filter
R_5cmiC3IlgtKivqJ,Default Response Set,Anonymous,,,335,0,11/14/13 10:43,11/14/13 10:47,1,after,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,60,40,,,1,,NBA game,60,40,,,,1,Chocolate ice cream cone,50,50,,,,1,Washington D.C.,60,40,,,,1,Italy,1,1,54,None,
R_7X1z1ODKFfwzw5D,Default Response Set,Anonymous,,,85,0,11/14/13 10:46,11/14/13 10:48,1,after,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,40,60,,,1,,musical,35,65,,,,1,Chocolate ice cream cone,50,50,,,1,,san francisco,50,50,,,1,,france,1,1,23,thank you,
R_eFC3zsQKegp0d3D,Default Response Set,Anonymous,,,17,0,11/14/13 10:48,11/14/13 10:50,1,before,packed,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,60,40,,1,,,Opera,75,25,1,,,,Peanut Butter cookie,50,50,,1,,,San Francisco,67,33,,1,,,China,1,1,33,I found typing the answers a bit annoying as oppose to using bubbles to select an answer.,
R_7OpgTheGDS164hn,Default Response Set,Anonymous,,,125,0,11/14/13 10:48,11/14/13 10:50,1,after,packed,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,50,50,1,,,,NFL game,80,20,1,,,,Chocolate Chip cookie,70,30,1,,,,San Francisco,70,30,,1,,,Vietnam,1,2,31,,
R_9B6wPTUMRc6FjsV,Default Response Set,Anonymous,,,270,0,11/14/13 10:39,11/14/13 10:52,1,after,unpacked,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,,,1,,NFL game,65,35,,,1,,Chocolate Chip cookie,50,50,,,1,,San Francisco,60,40,,,1,,Germany,1,2,27,It was really hard to type in the correct option. choosing bubbles would be better.,
R_eb9KXhp77HIXsEZ,Default Response Set,Anonymous,,,353,0,11/14/13 10:51,11/14/13 10:53,1,before,unpacked,top,packed,packed,packed,1,1,4,7,,,,,,1,70,30,,,,1,Theater,50,50,,,,1,Peanut Butter Cookie,50,50,,,,1,Seattle,70,30,,,1,,Japan,1,1,23,,
R_1ObEf41vqvWydy5,Default Response Set,Anonymous,,,96,0,11/14/13 10:52,11/14/13 10:54,1,before,unpacked,bottom,unpacked,packed,unpacked,1,1,4,7,,,,,,1,60,40,1,,,,Theater,50,50,,1,,,Chocolate ice cream cone,60,40,1,,,,San Francisco,80,20,1,,,,France,1,1,33,,
R_0DlpcsxcSynEHoV,Default Response Set,Anonymous,,,228,0,11/14/13 10:52,11/14/13 10:55,1,after,packed,top,packed,unpacked,packed,1,1,4,7,,,,,,1,90,10,,,,1,Theater,40,60,,,1,,Chocolate Chip cookie,70,30,,,,1,San Francisco,50,50,,,,1,Japan,1,1,24,NHL should also be included,
R_cGfVo2jAyieChgh,Default Response Set,Anonymous,,,90,0,11/14/13 10:53,11/14/13 10:55,1,after,packed,top,packed,packed,packed,1,1,4,7,,,,,,1,85,15,,,,1,Opera,65,35,,,,1,Vanilla ice cream cone,50,50,,,,1,Philadelphia,78,22,,,,1,China,1,1,30,,
R_3sMaupb7WwQ11J3,Default Response Set,Anonymous,,,262,0,11/14/13 10:54,11/14/13 10:56,1,after,packed,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,70,30,,1,,,Theater,50,50,1,,,,Oatmeal Raisin cookie,50,50,,1,,,Boston,50,50,,1,,,Japan,1,2,31,,
R_6kVmL5mhWL40DFX,Default Response Set,Anonymous,,,168,0,11/14/13 10:53,11/14/13 10:56,1,after,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,50,50,,,1,,NBA game,35,65,,,,1,Peanut Butter Cookie,70,30,,,1,,Seattle,75,25,,,1,,Germany,1,1,27,,
R_dmbLzBLuyXotNDT,Default Response Set,Anonymous,,,144,0,11/14/13 10:53,11/14/13 10:56,1,before,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,NBA game,40,60,,,,1,chocolate ice cream cone,60,40,,,,1,San Francisco,75,25,,,,1,Japan,1,2,36,,
R_8BcZHD7gS4HngsB,Default Response Set,Anonymous,,,238,0,11/14/13 10:54,11/14/13 10:57,1,before,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,75,25,,,1,,NFL game,40,60,,,,1,Strawberry ice cream cone,30,70,,,1,,San Francisco,80,20,,,1,,Germany,1,1,30,no,
R_aVnVDLEdqVZDXw1,Default Response Set,Anonymous,,,258,0,11/14/13 10:53,11/14/13 10:57,1,after,packed,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,75,25,,1,,,NFL game,75,25,1,,,,Peanut butter cookie,75,25,,1,,,Seattle,75,25,,1,,,Germany,1,1,22,"I think in most of the situations, when there is one option that has multiple choices, even though it was the same amout of choices for the other groupings, that people would go with the answer that was perceived to give them more control over the matter.  However, everyone loves cookies.",
R_3D9LjIqqQPdZLRb,Default Response Set,Anonymous,,,89,0,11/14/13 10:55,11/14/13 10:57,1,after,packed,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,MLB game,20,80,,1,,,Vanilla ice cream cone,50,50,1,,,,San Francisco,60,40,,1,,,Japan,1,1,38,,
R_6JrFOPHQB8MWxpz,Default Response Set,Anonymous,,,130,0,11/14/13 10:53,11/14/13 10:57,1,after,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,100,0,,1,,,nfl game,100,0,1,,,,chocolate chip cookie,100,0,1,,,,portland,40,60,1,,,,japan,1,1,31,,
R_3JcwV6iwdRRKU3b,Default Response Set,Anonymous,,,116,0,11/14/13 10:54,11/14/13 10:57,1,before,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,70,30,,,1,,NFL game,20,80,,,,1,Vanilla ice cream cone,40,60,,,1,,Philadelphia,50,50,,,1,,Japan,1,2,27,,
R_07cstEDpfCOzCRL,Default Response Set,Anonymous,,,122,0,11/14/13 10:56,11/14/13 10:59,1,before,unpacked,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,NFL game,50,50,,,1,,Peanut Butter Cookie,45,55,,,,1,Washington D.C.,90,10,,,1,,Germany,1,2,25,Interesting! ,
R_2oCDgZYt7ntYpXD,Default Response Set,Anonymous,,,172,0,11/14/13 10:57,11/14/13 10:59,1,before,unpacked,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,90,10,,1,,,NBA game,40,60,,1,,,Vanilla ice cream cone,55,45,1,,,,San Francisco,80,20,1,,,,Japan,1,1,22,n/a,
R_eyytE79YkYciVvf,Default Response Set,Anonymous,,,292,0,11/14/13 10:56,11/14/13 11:00,1,after,packed,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,Musical,40,60,,,1,,Chocolate Chip cookie,60,40,,,,1,Philadelphia,75,25,,,,1,Italy,1,1,26,,
R_d5dlNb4cYc8IVM1,Default Response Set,Anonymous,,,49,0,11/14/13 10:59,11/14/13 11:00,1,before,packed,top,packed,unpacked,packed,1,1,4,7,,,,,,1,50,50,,,,1,NBA game,40,60,,,1,,oatmeal raisin cookie,75,25,,,,1,San Francisco,75,25,,,,1,Japan,1,1,30,,
R_6X7tqLutOxEEbMV,Default Response Set,Anonymous,,,190,0,11/14/13 10:57,11/14/13 11:01,1,after,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,70,30,,,1,,NFL game,60,40,,,1,,Chocolate Chip cookie,60,40,,,1,,Seattle,70,30,,,,1,Japan,1,2,23,"Very sensitive field for typing in choices. Even if spelled correctly, sometimes would not proceed.",1
R_4OA1TDRr5fML7vv,Default Response Set,Anonymous,,,301,0,11/14/13 10:58,11/14/13 11:01,1,before,packed,bottom,packed,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,Theater,40,60,,1,,,Chocolate ice cream cone,50,50,,1,,,San Francisco,70,30,,1,,,Germany,1,2,60,,
R_bKkoYV2hnvwK4O9,Default Response Set,Anonymous,,,314,0,11/14/13 10:58,11/14/13 11:02,1,after,unpacked,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,NBA Game,70,30,,,1,,Chocolate Chip Cookie,60,40,,,1,,Portland,75,25,,,1,,Italy,1,2,25,"No, it was great. Thank you!",
R_81B2lYfxvdDRsu9,Default Response Set,Anonymous,,,115,0,11/14/13 10:58,11/14/13 11:02,1,after,unpacked,bottom,unpacked,packed,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,Theater,35,65,,1,,,Strawberry,50,50,1,,,,San Francisco,70,30,1,,,,Japan,1,1,26,,
R_0whL1zKKDPjDZIN,Default Response Set,Anonymous,,,199,0,11/14/13 11:00,11/14/13 11:03,1,before,packed,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,70,30,1,,,,NFL game,55,45,,1,,,Peanut butter cookie,65,35,,1,,,San Francisco,55,45,,1,,,China,1,1,34,None,
R_eyb529VDHQW7p2t,Default Response Set,Anonymous,,,294,0,11/14/13 11:00,11/14/13 11:03,1,after,packed,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,NFL game,20,80,,1,,,Vanilla ice cream cone,50,50,,1,,,Seattle,10,90,,1,,,Japan,1,1,35,,
R_1NgxHWADmcLEQlf,Default Response Set,Anonymous,,,192,0,11/14/13 10:59,11/14/13 11:03,1,before,unpacked,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,70,30,1,,,,NFL game,50,50,1,,,,chocolate chip cookie,60,40,1,,,,San Francisco,75,25,1,,,,Japan,1,1,26,I pick San Francisco because I live in Portland now and Seattle is within driving distance. Last year I lived in Ohio and picked Portland for vacation.,
R_81bqeVh5h7pYPIx,Default Response Set,Anonymous,,,244,0,11/14/13 10:59,11/14/13 11:03,1,after,packed,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,90,10,,,,1,Musical,30,70,,,1,,Oatmeal Raisin cookie,40,60,,,1,,Seattle,75,25,,,,1,Japan,1,1,28,NA,
R_5sWUOOXpP84GxTv,Default Response Set,Anonymous,,,254,0,11/14/13 11:01,11/14/13 11:04,1,after,unpacked,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,NFL game,10,90,,1,,,Chocolate Chip,20,80,,1,,,Washington D.C.,70,30,1,,,,Italy,1,1,20,,
R_7U4d4Oa7gC5LTzT,Default Response Set,Anonymous,,,278,0,11/14/13 11:01,11/14/13 11:04,1,before,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,80,20,,1,,,Theater,40,60,,1,,,Vanilla ice cream cone,50,50,,1,,,Washington D.C.,70,30,1,,,,Germany,1,1,21,,
R_bQvNwUuByGuUtV3,Default Response Set,Anonymous,,,114,0,11/14/13 10:53,11/14/13 11:04,1,before,unpacked,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,1,,,,NFL game,40,60,1,,,,chocolate chip cookie,65,35,1,,,,seattle,30,70,1,,,,germany,1,1,22,the last question about desserts took like 10 tries to get it to accept an answer,
R_6MAVVFVV8IJl1Rz,Default Response Set,Anonymous,,,318,0,11/14/13 11:01,11/14/13 11:04,1,before,packed,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,60,40,,,,1,Theater,30,70,,,1,,Vanilla Ice cream,40,60,,,1,,Washington D.C.,80,20,,,,1,France,1,1,25,,
R_cBZl35G3v4FRr4p,Default Response Set,Anonymous,,,208,0,11/14/13 11:00,11/14/13 11:04,1,after,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,75,25,,1,,,Musical,80,20,1,,,,Oatmeal Raisin Cookie,60,40,1,,,,Washington D.C.,70,30,1,,,,China,1,2,36,Was a little confusing at first what I was supposed to type in the answers box for it to accept it,
R_6mTQMCpGMhNHcdT,Default Response Set,Anonymous,,,11,0,11/14/13 11:01,11/14/13 11:04,1,after,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,NFL game,35,65,,,1,,oatmeal raisin cookie,60,40,,,1,,San Francisco,85,15,,,,1,France,1,2,35,,
R_eu01vm0PW9jiE4d,Default Response Set,Anonymous,,,78,0,11/14/13 11:01,11/14/13 11:04,1,before,packed,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,60,40,1,,,,NFL Game,30,70,1,,,,Chocolate Ice Cream Cone,60,40,1,,,,Boston,80,20,,1,,,Japan,1,1,30,,
R_0kbSGSRZ8tfhKlf,Default Response Set,Anonymous,,,118,0,11/14/13 11:00,11/14/13 11:04,1,before,unpacked,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,75,25,,,,1,Theater,20,80,,,1,,Chocolate Chip cookie,50,50,,,1,,Seattle,66.67,33.33,,,1,,France,1,1,25,,
R_9T9UfAjHwSMGNVz,Default Response Set,Anonymous,,,233,0,11/14/13 11:01,11/14/13 11:04,1,after,unpacked,top,packed,packed,packed,1,1,4,7,,,,,,1,75,25,,,,1,NFL,20,80,,,,1,Strawberry ice cream cone,15,85,,,,1,Washington D.C.,50,50,,,1,,Japan,1,1,20,,
R_3IP9WsUsfTblzzT,Default Response Set,Anonymous,,,154,0,11/14/13 11:01,11/14/13 11:05,1,before,packed,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,70,30,,,,1,Musical,60,40,,,1,,Chocolate Chip cookie,50,50,,,1,,Portland,80,20,,,,1,China,1,2,38,,
R_5j3C0Lul16nswW9,Default Response Set,Anonymous,,,226,0,11/14/13 11:03,11/14/13 11:06,1,before,unpacked,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,85,15,1,,,,NBA game,50,50,1,,,,peanut butter cookie,55,45,1,,,,Seattle,80,20,1,,,,Germany,1,1,19,,
R_6o47gbpTpgiWwrb,Default Response Set,Anonymous,,,171,0,11/14/13 11:01,11/14/13 11:06,1,after,unpacked,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,5,95,,,,1,theater,10,90,,,1,,chocolate chip cookie,55,45,,,1,,San Francisco,55,45,,,1,,France,1,2,54,,
R_9KL9O9jy252iNZH,Default Response Set,Anonymous,,,113,0,11/14/13 11:02,11/14/13 11:06,1,after,packed,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,70,30,,,,1,NFL,50,50,,,1,,Chocolate Chip cookie,60,40,,,1,,San Francisco,85,15,,,,1,Germany,1,1,23,thank you!,
R_5ssMSQnOj851OOV,Default Response Set,Anonymous,,,81,0,11/14/13 10:59,11/14/13 11:06,1,after,packed,top,packed,packed,packed,1,1,4,7,,,,,,1,60,40,,,,1,Musical,30,70,,,,1,Vanilla ice cream cone,60,40,,,,1,Boston,70,30,,,,1,Vietnam,1,1,32,,
R_9sH8IfklN1odRzv,Default Response Set,Anonymous,,,198,0,11/14/13 11:03,11/14/13 11:06,1,after,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,75,25,,1,,,nfl,50,50,1,,,,Chocolate Chip cookie,40,60,1,,,,seattle,75,25,1,,,,germany,1,1,27,i have the desire to travel and eat now.,
R_9ZEuaOcFOR6ENN3,Default Response Set,Anonymous,,,139,0,11/14/13 11:03,11/14/13 11:06,1,before,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,nfl game,45,55,,,,1,vanilla ice cream,70,30,,,,1,San Francisco,60,40,,,,1,Italy,1,2,24,,
R_39OwJn4Zm9NhUVf,Default Response Set,Anonymous,,,97,0,11/14/13 11:00,11/14/13 11:07,1,before,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,90,10,,,1,,NFL game,25,75,,,,1,Chocolate ice cream cone,40,60,,,,1,Washington D.C.,75,25,,,,1,Germany,1,1,24,,
R_3rPI35UMhMH0yYB,Default Response Set,Anonymous,,,169,0,11/14/13 11:02,11/14/13 11:07,1,after,packed,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,60,40,,,1,,NFL game,100,0,,,,1,Vanilla ice cream cone,50,50,,,1,,San Francisco,67,33,,,,1,China,1,2,52,"Hell Yeah, unable to figure out how the hell you what me to spell for choice 1 which is why I said 100 would choose. I cut and paste the whole line - no wrk I cut and paste before the parentheses and still no work (WTF?)",1
R_6xN5dB7xcE3cr1H,Default Response Set,Anonymous,,,250,0,11/14/13 11:02,11/14/13 11:08,1,before,unpacked,top,packed,packed,unpacked,1,1,4,7,,,,,,1,90,10,,,1,,MLB Game,10,90,,,,1,Chocolate Chip Cookie,25,75,,,,1,Washington D.C.,95,5,,,1,,Italy,1,1,56,None,
R_8jZQBbQxQDWwLWt,Default Response Set,Anonymous,,,322,0,11/14/13 11:05,11/14/13 11:08,1,before,packed,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,95,5,,1,,,NFL,50,50,1,,,,Chocolate Chip cookie,30,70,,1,,,Boston,80,20,,1,,,Germany,1,1,21,,
R_0256J8VbIadEbFX,Default Response Set,Anonymous,,,240,0,11/14/13 11:05,11/14/13 11:09,1,before,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,60,40,,1,,,Theater,25,75,1,,,,chocolate ice cream cone,40,60,1,,,,Boston,85,15,1,,,,Italy,1,2,33,,
R_3mAnARtDl2gB0jP,Default Response Set,Anonymous,,,303,0,11/14/13 11:06,11/14/13 11:09,1,after,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,75,25,,,1,,Opera,50,50,,,,1,Strawberry ice cream cone,50,50,,,1,,San Francisco,50,50,,,1,,Germany,1,1,33,,
R_8pG3WPfCFUDUWu9,Default Response Set,Anonymous,,,206,0,11/14/13 11:05,11/14/13 11:09,1,after,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,70,30,,,1,,Theater,40,60,,,,1,Chocolate Chip Cookie,60,40,,,,1,San Francisco,60,40,,,,1,Japan,1,2,22,,
R_bmFrFImAFWXasuh,Default Response Set,Anonymous,,,48,0,11/14/13 11:07,11/14/13 11:10,1,after,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,,,1,,Theater,30,70,,,1,,Chocolate Chip cookie,60,40,,,1,,San Francisco,60,40,,,,1,Italy,1,1,18,N/A,
R_e9x1kW2BUAlzgDX,Default Response Set,Anonymous,,,271,0,11/14/13 11:07,11/14/13 11:10,1,before,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,65,35,,1,,,NFL,40,60,1,,,,Chocolate Chip cookie,50,50,1,,,,Portland,65,35,1,,,,Italy,1,1,32,,
R_881mdb8ql9R1G8B,Default Response Set,Anonymous,,,124,0,11/14/13 10:55,11/14/13 11:10,1,after,unpacked,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,65,35,,,1,,NBA game,65,35,,,1,,Chocolate Chip cookie,40,60,,,1,,San Francisco,75,25,,,1,,Italy,1,1,27,Very interesting survey.  Enjoyed a lot!,
R_8ICFTgg86dMtIqN,Default Response Set,Anonymous,,,127,0,11/14/13 11:06,11/14/13 11:11,1,before,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,75,25,,1,,,Theater,40,60,,1,,,Vanilla ice cream cone,45,55,,1,,,Boston,70,30,1,,,,Germany,1,1,25,"Your answer forms were terribly designed, and refused to accept my choices for 'D' even though I tried 3 different ways of inputting them.  Learn to use radial buttons.",1
R_elIkXAQJYPukUN7,Default Response Set,Anonymous,,,220,0,11/14/13 11:07,11/14/13 11:11,1,after,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,,,1,,NFL game,50,50,,,1,,Chocolate Chip cookie,50,50,,,1,,San Francisco,50,50,,,,1,France,1,1,21,,
R_6WLuiGmOGA0gZUx,Default Response Set,Anonymous,,,200,0,11/14/13 11:09,11/14/13 11:12,1,after,packed,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,90,10,,1,,,Theater,70,30,1,,,,Chocolate Chip cookie,75,25,,1,,,Portland,5,95,,1,,,France,1,1,23,,
R_1Rpx5iupNWVVEhv,Default Response Set,Anonymous,,,275,0,11/14/13 11:08,11/14/13 11:12,1,before,packed,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,60,40,,,1,,MLB GAME,40,60,,,1,,Chocolate Chip cookie,50,50,,,,1,Washington D.C.,75,25,,,,1,China,1,1,22,,
