startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,distributionchannel,userlanguage,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q16,q17,q18,participantid,assignmentid,projectid,cond,partition
"9/11/24 10:05","9/11/24 10:06","0","151","100","40","1","9/11/24 10:06","R_55N5mn7Q9JvjG4Y","","","","","anonymous","EN","","5","","","","","","","","","","5","1","30","","D94857453F994176A80343773ECC7BF8","eec1f21e-5267-4cf5-88e9-cbbafe03f80a","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","335","100","35","1","9/11/24 10:06","R_1Gzz1FNBU4FbsNb","","","","","anonymous","EN","5","","","","","","5","","","","","","1","30","","EEDA37F32E064AEA96E4BF7E9A7C509A","ea485624-8d44-41fb-b6f1-491e00d57b67","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","364","100","66","1","9/11/24 10:06","R_5oqehJJZ0zTdoDJ","","","","","anonymous","EN","","2","","","","","","","2.5","","","","2","60","","865E4BDE943647A39D4AD18EDD458A92","faf2a4a5-25a2-4b61-aeba-eeb4a0023b74","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","102","100","54","1","9/11/24 10:06","R_1Fng8BrejDTWLJT","","","","","anonymous","EN","","3","","","","","","","","3","","","1","44","","A6D62DD2DDD44CD69530A536A1813451","02168590-7d84-4d9e-8b1b-ad17b8057334","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","450","100","69","1","9/11/24 10:06","R_55sGTh09uYVvWRU","","","","","anonymous","EN","","3","","","","","","","","3","","","1","25","","E5173CFF254045F08AF77EF1FAD17D6B","68e1599a-39fc-403c-b7ca-5ffdb2f31cba","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","8","100","63","1","9/11/24 10:06","R_3RlsIpl5J4xFUa5","","","","","anonymous","EN","","2","","","","","","","2","","","","1","43","","8A3FAD95A290488DA9CB1EEBE63791ED","1d7d775c-7f9b-4544-ac46-816081e22110","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","666","100","57","1","9/11/24 10:06","R_6yjigioI734BECl","","","","","anonymous","EN","5","","","","","","2","","","","","","2","47","","78E68B8CAEC9403B8C27472C70E136B7","032fb28f-5bd5-43df-97a8-57512ad71f24","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","550","100","40","1","9/11/24 10:06","R_7pJNp4tq6ncWXuc","","","","","anonymous","EN","5","","","","","","5","","","","","","2","46","","46497C68D692496D9986567CE844CE6F","7b386865-7435-4751-8382-f25a71c7a43e","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","250","100","56","1","9/11/24 10:06","R_3CjJng1sEBlIe6a","","","","","anonymous","EN","","1","","","","","","1","","","","","1","35","","087903602B1B4B01AB10E9B644A7E973","b866f877-39b6-4e43-af11-e6e39bc90e7a","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","725","100","63","1","9/11/24 10:06","R_2DNM7XRDjuUjdMB","","","","","anonymous","EN","","3","","","","","","","","3.5","","","2","52","","E72FB5C055044940838F3AE0B2A37D73","e123f147-128d-4a25-a9e0-a5dc5fc9fc89","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","411","100","72","1","9/11/24 10:06","R_6axbPH7ZcSP3afG","","","","","anonymous","EN","1","","0.39","","","","","","","","","","1","59","","D1EAA51ABDDC4B2DAF31E60B2218768F","9f09127f-d0f6-46e8-ab48-87669ef07073","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","3","100","52","1","9/11/24 10:06","R_7kMrpwLzHoYQW40","","","","","anonymous","EN","","5","","","","","","","","","","5","2","29","","C125E20118404C5F826FA62F5371B01F","795af3f7-fcd8-4787-ae68-5a8410d94e32","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","475","100","45","1","9/11/24 10:06","R_1UEuNfQPrqnzc09","","","","","anonymous","EN","5","","","","","","4","","","","","","2","26","","466AEA280A1443D0BDADCEFDAF47E49D","df41737a-cebb-4a48-ab6a-efaa6ef8aeef","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","315","100","53","1","9/11/24 10:06","R_6NzhOUgM9mqDYcJ","","","","","anonymous","EN","5","","","","","","4","","","","","","1","32","","598BE8FBAE8C477BA922C476C73E8110","226c74e5-3218-4473-9b92-af020d9d582b","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","51","100","76","1","9/11/24 10:06","R_6ib1sWpCVC02r1C","","","","","anonymous","EN","","5","","","","","","","","","","6","2","29","","65C08DFD1DFB4116AFE80133BAC63D50","e24ea10f-6041-4b04-ab25-282ce7b93578","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","128","100","44","1","9/11/24 10:06","R_5dlHwBEhq5enJDC","","","","","anonymous","EN","1","","0","","","","","","","","","","2","64","","97725CCC05DC4F978825D45FB3EB168C","9f24ac2e-1974-42c3-8a87-204eba3982e0","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","738","100","47","1","9/11/24 10:06","R_7Lzh5edciNCA8Q9","","","","","anonymous","EN","5","","","","","","2.5","","","","","","1","31","","19E20347FB2642AFBEC821F25D86B41C","1ec833e3-2f7a-403d-8322-57e8800ae0e7","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","671","100","48","1","9/11/24 10:06","R_6ABtUbayl7ugK8F","","","","","anonymous","EN","1","","0.25","","","","","","","","","","2","42","","1C3FEAA46E0444B8B0F96480EF8E0F8A","fd6615da-d0eb-4d17-a9ce-6ff75600ebe2","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","86","100","58","1","9/11/24 10:06","R_6Do6YnF8p9wm8t5","","","","","anonymous","EN","5","","","","","","5","","","","","","1","28","","0F830DAC459E44718B1B80D6D74C40C6","130e7e67-abcb-44b9-a742-e6fade070067","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","230","100","44","1","9/11/24 10:06","R_6JhmmjnY5g9xTiv","","","","","anonymous","EN","","4","","","","","","","","","4.99","","1","32","","936D60369F8F45F99B76E40BBB8A515E","0424131f-59cf-4d2e-a418-9b3e7babb81b","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","731","100","70","1","9/11/24 10:06","R_2PSMFvxijZm4o64","","","","","anonymous","EN","","5","","","","","","","","","","5","1","47","Share the wealth!","658E19DC1F2F4B1FA87863476B5E6993","dba9a9a2-1a1e-40c7-ace3-98d815a72900","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","661","100","36","1","9/11/24 10:06","R_5q8bDeNLEJE3rwD","","","","","anonymous","EN","1","","0","","","","","","","","","","1","37","","3C6A217DE6664F54B1103A5E9F227CA6","c1cdae4b-bfc7-418c-8f37-74b8fa211b04","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","190","100","53","1","9/11/24 10:06","R_3qmP5tE4ZAvHLiH","","","","","anonymous","EN","","4","","","","","","","","","4.99","","2","49","","9089405D45634C35A798EC274EA35117","93b28b9d-d7ac-4f2c-8119-8976d9c54679","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","72","100","33","1","9/11/24 10:06","R_7kG6GURknK0FBHD","","","","","anonymous","EN","","5","","","","","","","","","","5","1","31","","3975392668B548F4866ED6F1FAEC3C4B","f97c1d29-a0eb-4d71-8f8d-903c5d6016eb","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","331","100","48","1","9/11/24 10:06","R_6VvvvA0qsKj9Pvr","","","","","anonymous","EN","","4","","","","","","","","","4","","1","35","","EA3BC71F348D4F61836020283D73ACA9","b39f76e6-5cae-442c-b540-f4dd257be511","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","497","100","57","1","9/11/24 10:06","R_1r91PCSZ7Z4P6bc","","","","","anonymous","EN","","5","","","","","","","","","","5","1","36","","99997F91ABA741E9B493AF5A3DD37848","4887a94a-3e35-4c56-80a5-d9a5c28ff267","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","615","100","70","1","9/11/24 10:06","R_6iF5jH9ETmwVUuR","","","","","anonymous","EN","","4","","","","","","","","","4.5","","1","37","","73EA74675A9D4BE69AEE2BC239DDEFFB","1a2e019f-b476-48dc-b4fd-9c42c5d655d4","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","180","100","37","1","9/11/24 10:06","R_5EieLjLtvLccPjX","","","","","anonymous","EN","","1","","","","","","1.5","","","","","2","38","","4B0CE07C4F434476AF0B131C45E7AB28","26561b6e-6255-4e29-ba30-5b227c206510","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","402","100","62","1","9/11/24 10:06","R_3gzhFELr5CGptDD","","","","","anonymous","EN","","5","","","","","","","","","","6","2","25","NA","3B9FFCAE816F4E52801917EC66E0A81B","d41cfa56-8a29-4f8c-b4f3-2f2ca64b83fb","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","79","100","44","1","9/11/24 10:06","R_6f9CE50PWRslmWO","","","","","anonymous","EN","5","","","","","","5","","","","","","1","36","","B5DEC0D66A1C43B9AA4E0DADE72E8EF3","e0e79fc6-2c70-4b3f-860a-0ad264096db4","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","30","100","76","1","9/11/24 10:06","R_67NRAy6tzffNLt7","","","","","anonymous","EN","5","","","","","","5","","","","","","2","34","","F45AC3456D0C4C3D8CC7E15C306C602D","3226cd66-d522-4d83-8e16-fd83f802fa10","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:06","9/11/24 10:06","0","696","100","24","1","9/11/24 10:06","R_5DmskkZg0Ub77kB","","","","","anonymous","EN","1","","0.1","","","","","","","","","","1","24","","84EF3A4660034354B098DECA683C4357","c63a237a-bb0e-4d2c-8a97-9d5de326ff4e","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","94","100","51","1","9/11/24 10:06","R_3rZuhRxrahpFUXn","","","","","anonymous","EN","","5","","","","","","","","","","5","1","50","Good luck to us all!","4D32FB79401043628BDF4355E34B1489","dad0bbc5-2770-4496-bf84-f275468e7f37","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:06","9/11/24 10:06","0","372","100","28","1","9/11/24 10:06","R_72RnKwjn7Cl39a0","","","","","anonymous","EN","2","","","0.6","","","","","","","","","2","28","","CBE24D1D724349D09F35ADB75C2B3B31","8eaf6b3e-3ec7-4389-b7f5-7faa2914e83d","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","585","100","43","1","9/11/24 10:06","R_7drYT055soCVVqx","","","","","anonymous","EN","","5","","","","","","","","","","10","1","31","None","19C9E340328846829296124EC66ABE98","5354dbcb-1c78-4d67-a7d1-f760a216dee7","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","414","100","54","1","9/11/24 10:06","R_37qkmIh7s85RjJT","","","","","anonymous","EN","","5","","","","","","","","","","5","2","32","","BA9A46D630714E148406C6A940A87BF6","eea8e225-2de6-42b1-a76f-e50a69a7df7b","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","208","100","57","1","9/11/24 10:06","R_6sbB5qVyKgCIG6w","","","","","anonymous","EN","","5","","","","","","","","","","5","2","25","","32C2B8292FC94999B1D97DF28427DE34","b074de4f-73a8-4e28-bb0b-50983292cb54","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","643","100","81","1","9/11/24 10:06","R_7FWE0THqYBOsb4p","","","","","anonymous","EN","5","","","","","","5","","","","","","1","35","","A3980FB12E25421DB75056DCBCE36285","a2ba4b17-84f9-4ea5-b483-7ef56777a5a8","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","530","100","36","1","9/11/24 10:06","R_6RWwvx3FOdi2fBG","","","","","anonymous","EN","1","","0","","","","","","","","","","1","29","No comments to add, thank you.","2B6E7580A0964CABA9A80744D910F58F","e703c796-f7a0-4f1e-9761-f67911661ed2","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","224","100","82","1","9/11/24 10:06","R_3HFy2bwiGNCPDew","","","","","anonymous","EN","2","","","0.55","","","","","","","","","2","32","","6A222045863E463E8BD8A1BC116729FC","cb01ba33-71c1-4f4f-8ab1-9f512408a4f5","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","28","100","44","1","9/11/24 10:06","R_1BXIHLvWaxCz1Ws","","","","","anonymous","EN","","1","","","","","","1","","","","","2","48","","04DF83926B134CB2B56BC3F0BE97C362","7b9027f3-bdaf-42e4-bb0c-cfad21ac35a5","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","14","100","84","1","9/11/24 10:06","R_7Jw1fnNAtzPDk1s","","","","","anonymous","EN","5","","","","","","2","","","","","","1","41","","334843FA345B4BE3A12871C50E099A00","bbacc6f1-b46e-45a9-87e8-7223b2ed7f28","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:06","9/11/24 10:06","0","769","100","36","1","9/11/24 10:06","R_6koFw3gHWB3HiGN","","","","","anonymous","EN","","1","","","","","","0.5","","","","","2","31","","776435FD31304C318DE896E0657127C2","79bfb7fb-172d-48c4-b425-587b66800056","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:05","9/11/24 10:06","0","404","100","55","1","9/11/24 10:06","R_6PF73iwkRlKdffF","","","","","anonymous","EN","5","","","","","","5","","","","","","1","30","","1F8FAFCF5442455CAF4C9CFF8620AB7E","d71e3f46-aa74-41b6-89a9-78e6c048ae52","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:06","9/11/24 10:06","0","429","100","24","1","9/11/24 10:06","R_3jZnD4wsUmnYzaB","","","","","anonymous","EN","5","","","","","","5","","","","","","1","38","","DD9E8EDD23F743E0A27F5DECE27D6407","78a82fe5-d5ad-4670-8648-a3cef19f4ff9","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","413","100","84","1","9/11/24 10:06","R_7cS6OxL66SnrHTX","","","","","anonymous","EN","2","","","0.6","","","","","","","","","2","43","","210421429F044EE588AD2934C2636AAB","865463c0-5b77-4d7f-b26b-35d77a9a66c6","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:06","9/11/24 10:06","0","636","100","32","1","9/11/24 10:06","R_5RFv8RNP75K1yaB","","","","","anonymous","EN","3","","","","1","","","","","","","","1","27","","DB18494B5874464A9F322CEF10B6C599","5d5ddb6d-973c-4189-b50e-230dde4959b2","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:06","9/11/24 10:06","0","130","100","31","1","9/11/24 10:06","R_3Ihi87UKVfF9qdz","","","","","anonymous","EN","","1","","","","","","0.5","","","","","1","30","","A98A7E0C076E4667B8E5C3695D153F2B","d7b8d46a-eaf4-4432-b031-9c864b55b3e9","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:06","9/11/24 10:06","0","465","100","34","1","9/11/24 10:06","R_1MQgzHx4aLMetxh","","","","","anonymous","EN","5","","","","","","5","","","","","","2","29","","C5FE6C5DDF524CFCB984967F96C32402","5add1018-3a12-4821-89e2-2bbb95304b90","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","56","100","87","1","9/11/24 10:06","R_7KfWBoGQsJTXSbn","","","","","anonymous","EN","","5","","","","","","","","","","5","2","32","No comment","D13E8F4BE6C64F39B17CC07AB7B0367E","0761ae62-a888-4511-9abc-dc107ee3166d","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:06","9/11/24 10:06","0","470","100","37","1","9/11/24 10:06","R_5rN8IZymDIcLa43","","","","","anonymous","EN","5","","","","","","3.5","","","","","","2","27","","D8BFE68E603D4239A0628F2B42538A7F","698a469e-5e3e-404e-8b75-dbef2c0bf60c","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","602","100","70","1","9/11/24 10:06","R_6rMmt43qRcdNgcN","","","","","anonymous","EN","5","","","","","","5","","","","","","2","65","","4EFF0F01D3F94531835DF155CC8B22DD","a10eaab5-4245-4aa2-96c3-b97e66629155","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:06","9/11/24 10:06","0","232","100","31","1","9/11/24 10:06","R_5WogCEWEEhnLf69","","","","","anonymous","EN","","1","","","","","","0","","","","","1","30","","63CCB99291884DB49454E28CF01D6FE0","6d1c6b07-7e31-45d6-baba-8c77ebea7e35","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:06","9/11/24 10:06","0","745","100","34","1","9/11/24 10:06","R_1B4i7fu2mfmkk1V","","","","","anonymous","EN","","2","","","","","","","2.5","","","","1","31","","F9591BFC1E88449A80FBE367479BD007","1f3ac4f0-7000-4d61-9c76-405b5091ff6f","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","1","generous"
"9/11/24 10:06","9/11/24 10:06","0","653","100","33","1","9/11/24 10:06","R_1JCyCWtYcbj51ER","","","","","anonymous","EN","5","","","","","","2.69","","","","","","1","33","","364BA2EEA202439CA73EC72F6571CDBD","086a6b80-8383-41dc-8169-c23ad1a5b2d5","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
"9/11/24 10:05","9/11/24 10:06","0","787","100","50","1","9/11/24 10:06","R_1eJcGUbMb1BNSCt","","","","","anonymous","EN","5","","","","","","5","","","","","","1","37","","43AECE246D774B839219FF8B9DC9CF5A","69f498e2-4135-447c-8c3b-16390aa09796","037edf4c-0e37-4a5a-9b94-c11e6ec3b12a","0","stingy"
